id,Date,Sport,Séance,Exercice,Durée,poid,Nbr_de_repetitions,Commentaire
325,2024-04-20,Musculation,Mobilités Jambes,Rotary Torso,,59.0,15.0,
326,2024-04-20,Musculation,Mobilités Jambes,Rotary Torso,,59.0,15.0,
327,2024-04-20,Musculation,Mobilités Jambes,Rotary Torso,,59.0,15.0,
328,2024-04-20,Musculation,Mobilités Jambes,Abdos Inclinés,,20.0,15.0,
329,2024-04-20,Musculation,Mobilités Jambes,Abdos Inclinés,,20.0,15.0,
330,2024-04-20,Musculation,Mobilités Jambes,Abdos Inclinés,,20.0,15.0,
331,2024-04-20,Musculation,Mobilités Jambes,Squat,,40.0,15.0,
332,2024-04-20,Musculation,Mobilités Jambes,Squat,,50.0,15.0,
333,2024-04-20,Musculation,Mobilités Jambes,Squat,,60.0,15.0,
334,2024-04-20,Musculation,Mobilités Jambes,Squat,,70.0,15.0,
335,2024-04-20,Musculation,Mobilités Jambes,Squat,,80.0,15.0,
336,2024-04-23,Musculation,Mobilités Jambes,Rotary Torso,,59.0,10.0,
337,2024-04-23,Musculation,Mobilités Jambes,Rotary Torso,,59.0,10.0,
338,2024-04-23,Musculation,Mobilités Jambes,Rotary Torso,,59.0,10.0,
339,2024-04-27,Cardio,,Vélo Elliptique,25.0,,,
340,,Cardio,,Cross Trainning,,,,"Séance de Cardio : 
 Pompes 
 Squat 15kg x15
Abdos levée de jambes x15
Fentes 16kg
Montée de boxe 15x
Abdo avec poid 10kg x 10"
341,2024-04-30,Musculation,Dos,Lat Pull,,54.3,10.0,
342,2024-04-30,Musculation,Dos,Lat Pull,,54.3,10.0,
343,2024-04-30,Musculation,Dos,Lat Pull,,54.3,10.0,
344,2024-04-30,Musculation,Dos,Lat Pull,,59.0,10.0,
345,2024-04-30,Musculation,Dos,Biceps Curls à la Poulie,,23.0,10.0,
346,2024-04-30,Musculation,Dos,Biceps Curls à la Poulie,,25.3,12.0,
347,2024-04-30,Musculation,Dos,Biceps Curls à la Poulie,,25.3,12.0,
348,2024-04-30,Musculation,Dos,Biceps Curls à la Poulie,,25.3,12.0,
